         393551 function calls (382942 primitive calls) in 24.263 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.423    0.106 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1303(endheaders)
        4    0.000    0.000    0.423    0.106 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1065(_send_output)
        6    0.000    0.000    0.423    0.071 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1010(send)
        6    0.000    0.000    0.423    0.071 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1201(sendall)
        6    0.000    0.000    0.423    0.071 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1174(send)
        1    0.000    0.000    0.272    0.272 C:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:125(init_tts_engine)
        1    0.000    0.000    0.269    0.269 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\__init__.py:6(init)
        1    0.000    0.000    0.269    0.269 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\engine.py:20(__init__)
        1    0.000    0.000    0.269    0.269 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\driver.py:28(__init__)
      121    0.004    0.000    0.227    0.002 {method 'read' of '_io.BufferedReader' objects}
        9    0.000    0.000    0.227    0.025 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\models.py:890(content)
       50    0.000    0.000    0.227    0.005 {method 'join' of 'bytes' objects}
       12    0.000    0.000    0.227    0.019 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\models.py:816(generate)
       12    0.000    0.000    0.227    0.019 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\response.py:607(stream)
        7    0.000    0.000    0.225    0.032 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\response.py:535(read)
        7    0.000    0.000    0.224    0.032 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\response.py:487(_fp_read)
        7    0.000    0.000    0.224    0.032 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:456(read)
        1    0.000    0.000    0.222    0.222 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:305(load_weights)
      153    0.001    0.000    0.210    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\init.py:406(kaiming_uniform_)
      194    0.205    0.001    0.205    0.001 {method 'uniform_' of 'torch._C.TensorBase' objects}
      144    0.001    0.000    0.204    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:428(__init__)
      144    0.002    0.000    0.200    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:70(__init__)
    69/13    0.001    0.000    0.198    0.015 <frozen importlib._bootstrap>:1343(_find_and_load)
     58/2    0.000    0.000    0.198    0.099 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
       12    0.000    0.000    0.196    0.016 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\importlib\__init__.py:73(import_module)
    13/12    0.000    0.000    0.196    0.016 <frozen importlib._bootstrap>:1369(_gcd_import)
     58/3    0.000    0.000    0.195    0.065 <frozen importlib._bootstrap>:905(_load_unlocked)
     57/3    0.000    0.000    0.195    0.065 <frozen importlib._bootstrap_external>:988(exec_module)
    138/5    0.000    0.000    0.192    0.038 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        6    0.190    0.032    0.190    0.032 {method 'write' of '_ssl._SSLSocket' objects}
     58/3    0.001    0.000    0.190    0.063 {built-in method builtins.exec}
